product_id,name,category,subcategory,price,replenishment_days,is_premium
PROD00066,Organic Chia Seeds 250g,Wellness,Nutrition,333,30,False
PROD00067,Eco-Friendly Yoga Mat 6mm,Wellness,Fitness,1204,365,True
PROD00068,Resistance Bands Set 5-Level,Wellness,Fitness,679,365,False
PROD00069,Guided Mindfulness Journal,Wellness,Mental Wellness,512,180,False
PROD00070,Lavender Pillow Mist 100ml,Wellness,Mental Wellness,348,45,False
PROD00071,Plant-Based Multi-Surface Cleaner 500ml,Family Essentials,Home,402,30,False
PROD00072,Eco Laundry Liquid 1L,Family Essentials,Home,450,30,False
PROD00073,BPA-Free Food Storage Set 5pc,Family Essentials,Kitchen,988,180,True
PROD00074,Stainless Steel Water Bottle 750ml,Family Essentials,Kitchen,752,365,True
PROD00075,Beeswax Wraps Set of 3,Family Essentials,Kitchen,454,90,False
PROD00076,Family First Aid Kit 50pc,Family Essentials,Safety,1058,365,True
PROD00077,Child Safety Cabinet Locks 8pk,Family Essentials,Safety,352,365,False
PROD00078,Smoke & CO Detector Combo,Family Essentials,Safety,1375,730,True
PROD00079,Reusable Grocery Bags Set 5pk,Family Essentials,Household,344,180,False
PROD00080,Compostable Trash Bags 30ct,Family Essentials,Household,292,30,False
